"Sprite Reference","Continent","Type","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian",""
"CostaRica","North America","TheCountry","HUDText","Costa Rica","PSG_10009449","","","","","","","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Kostaryka","Коста-Рика",""
"Croatia","Europe","TheCountry","HUDText","Croatia","PSG_10009450","","","","","","","Croatie","Croazia","Kroatien","Croacia","Croácia","Kroatië","Horvátország","Chorwacja","Хорватия",""
"Cuba","North America","TheCountry","HUDText","Cuba","PSG_10009451","","","","","","","Cuba","Cuba","Kuba","Cuba","Cuba","Cuba","Kuba","Kuba","Куба",""
"Cyprus","Europe","TheCountry","HUDText","Cyprus","PSG_10009452","","","","","","","Chypre","Cipro","Zypern","Chipre","Chipre","Cyprus","Ciprus","Cypr","Кипр",""
"CzechRepublic","Europe","TheCountry","HUDText","Czech Republic","PSG_10009453","","","","","","","République tchèque","Repubblica Ceca","Tschechien","República Checa","República Tcheca","Tsjechische Republiek","Cseh Köztársaság","Czechy","Чешская Республика",""
"Denmark","Europe","TheCountry","HUDText","Denmark","PSG_10009454","","","","","","","Danemark","Danimarca","Dänemark","Dinamarca","Dinamarca","Denemarken","Dánia","Dania","Дания",""
"Djibouti","Africa","TheCountry","HUDText","Djibouti","PSG_10009455","","","","","","","Djibouti","Gibuti","Dschibuti","Yibuti","Djibuti","Djibouti","Dzsibuti","Dżibuti","Джибути",""
"Dominica","North America","TheCountry","HUDText","Dominica","PSG_10009456","","","","","","","Dominique","Dominica","Dominica","Dominica","Dominica","Dominica","Dominikai Közösség","Dominika","Доминика",""
"DominicanRepublic","North America","TheCountry","HUDText","Dominican Republic","PSG_10009457","","","","","","","République dominicaine","Repubblica Dominicana","Dominikanische Republik","República Dominicana","República Dominicana","Dominicaanse Republiek","Dominikai Köztársaság","Dominikana","Доминиканская Республика",""
"EastTimor","Asia","TheCountry","HUDText","East Timor","PSG_10009458","","","","","","","Timor oriental","Timor Est","Osttimor","Timor Oriental","Timor-Leste","Oost-Timor","Kelet-Timor","Timor Wschodni","Восточный Тимор",""
"Ecuador","South America","TheCountry","HUDText","Ecuador","PSG_10009459","","","","","","","Équateur","Ecuador","Ecuador","Ecuador","Equador","Ecuador","Ecuador","Ekwador","Эквадор",""
"Egypt","Africa","TheCountry","HUDText","Egypt","PSG_10009460","","","","","","","Égypte","Egitto","Ägypten","Egipto","Egito","Egypte","Egyiptom","Egipt","Египет",""
"ElSalvador","North America","TheCountry","HUDText","El Salvador","PSG_10009461","","","","","","","Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","Salwador","Сальвадор",""
"EquatorialGuinea","Africa","TheCountry","HUDText","Equatorial Guinea","PSG_10009462","","","","","","","Guinée équatoriale","Guinea Equatoriale","Äquatorialguinea","Guinea Ecuatorial","Guiné Equatorial","Equatoriaal Guinee","Egyenlítői-Guinea","Gwinea Równikowa","Экваториальная Гвинея",""
"Eritrea","Africa","TheCountry","HUDText","Eritrea","PSG_10009463","","","","","","","Érythrée","Eritrea","Eritrea","Eritrea","Eritreia","Eritrea","Eritrea","Erytrea","Эритрея",""
"Estonia","Europe","TheCountry","HUDText","Estonia","PSG_10009464","","","","","","","Estonie","Estonia","Estland","Estonia","Estônia","Estland","Észtország","Estonia","Эстония",""
"Ethiopia","Africa","TheCountry","HUDText","Ethiopia","PSG_10009465","","","","","","","Éthiopie","Etiopia","Äthiopien","Etiopía","Etiópia","Ethiopië","Etiópia","Etiopia","Эфиопия",""
"FaroeIslands","Europe","TheCountry","HUDText","Faroe Islands","PSG_10009466","","","","","","","Îles Féroé","Isole Faroe","Färöer-Inseln","Islas Feroe","Ilhas Féroe","Faeröer","Feröer-szigetek","Wyspy Owcze","Фарерские острова",""
"Fiji","Oceania","TheCountry","HUDText","Fiji","PSG_10009467","","","","","","","Fidji","Fiji","Fidschi","Fiyi","Fiji","Fiji","Fidzsi-szigetek","Fidżi","Фиджи",""
"Finland","Europe","TheCountry","HUDText","Finland","PSG_10009468","","","","","","","Finlande","Finlandia","Finnland","Finlandia","Finlândia","Finland","Finnország","Finlandia","Финляндия",""
"France","Europe","TheCountry","HUDText","France","PSG_10009469","","","","","","","France","Francia","Frankreich","Francia","França","Frankrijk","Franciaország","Francja","Франция",""
"FrenchGuiana","South America","TheCountry","HUDText","French Guiana","PSG_10009470","","","","","","","Guyane","Guiana francese","Französisch-Guayana","Guayana francesa","Guiana Francesa","Frans-Guyana","Francia Guyana","Gujana Francuska","Французская Гвиана",""
"Gabon","Africa","TheCountry","HUDText","Gabon","PSG_10009471","","","","","","","Gabon","Gabon","Gabun","Gabón","Gabão","Gabon","Gabon","Gabon","Габон",""
"Gambia","Africa","TheCountry","HUDText","Gambia","PSG_10009472","","","","","","","Gambie","Gambia","Gambia","Gambia","Gâmbia","Gambia","Gambia","Gambia","Гамбия",""
"Georgia","Europe","TheCountry","HUDText","Georgia","PSG_10009473","","","","","","","Géorgie","Georgia","Georgien","Georgia","Geórgia","Georgië","Grúzia","Gruzja","Грузия",""
"Germany","Europe","TheCountry","HUDText","Germany","PSG_10009474","","","","","","","Allemagne","Germania","Deutschland","Alemania","Alemanha","Duitsland","Németország","Niemcy","Германия",""
"Ghana","Africa","TheCountry","HUDText","Ghana","PSG_10009475","","","","","","","Ghana","Ghana","Ghana","Ghana","Gana","Ghana","Ghána","Ghana","Гана",""
"Greece","Europe","TheCountry","HUDText","Greece","PSG_10009476","","","","","","","Grèce","Grecia","Griechenland","Grecia","Grécia","Griekenland","Görögország","Grecja","Греция",""
"Grenada","North America","TheCountry","HUDText","Grenada","PSG_10009477","","","","","","","Grenade","Grenada","Grenada","Granada","Granada","Grenada","Grenada","Grenada","Гренада",""
"Guam","Oceania","TheCountry","HUDText","Guam","PSG_10009478","","","","","","","Guam","Guam","Guam","Guam","Guam","Guam","Guam","Guam","Гуам",""
"Guatemala","North America","TheCountry","HUDText","Guatemala","PSG_10009479","","","","","","","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Gwatemala","Гватемала",""
"Guinea","Africa","TheCountry","HUDText","Guinea","PSG_10009480","","","","","","","Guinée","Guinea","Guinea","Guinea","Guiné","Guinee","Guinea","Gwinea","Гвинея",""
"GuineaBissau","Africa","TheCountry","HUDText","Guinea-Bissau","PSG_10009481","","","","","","","Guinée-Bissau","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Guiné-Bissau","Guinee-Bissau","Bissau-Guinea","Gwinea Bissau","Гвинея-Бисау",""
"Guyana","South America","TheCountry","HUDText","Guyana","PSG_10009482","","","","","","","Guyana","Guyana","Guyana","Guyana","Guiana","Guyana","Guyana","Gujana","Гайана",""
"Haiti","North America","TheCountry","HUDText","Haiti","PSG_10009483","","","","","","","Haïti","Haiti","Haiti","Haití","Haiti","Haïti","Haiti","Haiti","Гаити",""
"Honduras","North America","TheCountry","HUDText","Honduras","PSG_10009484","","","","","","","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Гондурас",""
"HongKong","Asia","TheCountry","HUDText","Hong Kong","PSG_10009485","","","","","","","Hong Kong","Hong Kong","Hongkong","Hong Kong","Hong Kong","Hongkong","Hongkong","Hongkong","Гонконг",""
"Hungary","Europe","TheCountry","HUDText","Hungary","PSG_10009486","","","","","","","Hongrie","Ungheria","Ungarn","Hungría","Hungria","Hongarije","Magyarország","Węgry","Венгрия",""
"Iceland","Europe","TheCountry","HUDText","Iceland","PSG_10009487","","","","","","","Islande","Islanda","Island","Islandia","Islândia","IJsland","Izland","Islandia","Исландия",""
"India","Asia","TheCountry","HUDText","India","PSG_10009488","","","","","","","Inde","India","Indien","India","Índia","India","India","Indie","Индия",""
"Indonesia","Asia","TheCountry","HUDText","Indonesia","PSG_10009489","","","","","","","Indonésie","Indonesia","Indonesien","Indonesia","Indonésia","Indonesië","Indonézia","Indonezja","Индонезия",""
"Iran","Asia","TheCountry","HUDText","Iran","PSG_10009490","","","","","","","Iran","Iran","Iran","Irán","Irã","Iran","Irán","Iran","Иран",""
"Iraq","Asia","TheCountry","HUDText","Iraq","PSG_10009491","","","","","","","Irak","Iraq","Irak","Iraq","Iraque","Irak","Irak","Irak","Ирак",""
"Ireland","Europe","TheCountry","HUDText","Ireland","PSG_10009492","","","","","","","Irlande","Irlanda","Irland","Irlanda","Irlanda","Ierland","Írország","Irlandia","Ирландия",""
"Israel","Asia","TheCountry","HUDText","Israel","PSG_10009493","","","","","","","Israël","Israele","Israel","Israel","Israel","Israël","Izrael","Izrael","Израиль",""
"Italy","Europe","TheCountry","HUDText","Italy","PSG_10009494","","","","","","","Italie","Italia","Italien","Italia","Itália","Italië","Olaszország","Włochy","Италия",""
"IvoryCoast","Africa","TheCountry","HUDText","Ivory Coast","PSG_10009495","","","","","","","Côte d'Ivoire","Costa d'Avorio","Elfenbeinküste","Costa de Marfil","Costa do Marfim","Ivoorkust","Elefántcsontpart","Wybrzeże Kości Słoniowej","Кот д’Ивуар",""
"Jamaica","North America","TheCountry","HUDText","Jamaica","PSG_10009496","","","","","","","Jamaïque","Giamaica","Jamaika","Jamaica","Jamaica","Jamaica","Jamaica","Jamajka","Ямайка",""
"Japan","Asia","TheCountry","HUDText","Japan","PSG_10009497","","","","","","","Japon","Giappone","Japan","Japón","Japão","Japan","Japán","Japonia","Япония",""
"Jordan","Asia","TheCountry","HUDText","Jordan","PSG_10009498","","","","","","","Jordanie","Giordania","Jordanien","Jordania","Jordânia","Jordanië","Jordánia","Jordania","Иордания",""
"Kazakhstan","Asia","TheCountry","HUDText","Kazakhstan","PSG_10009499","","","","","","","Kazakhstan","Kazakistan","Kasachstan","Kazajistán","Cazaquistão","Kazachstan","Kazahsztán","Kazachstan","Казахстан",""
"Kenya","Africa","TheCountry","HUDText","Kenya","PSG_10009500","","","","","","","Kenya","Kenya","Kenia","Kenia","Quênia","Kenia","Kenya","Kenia","Кения",""
"Kiribati","Oceania","TheCountry","HUDText","Kiribati","PSG_10009501","","","","","","","Kiribati","Kiribati","Kiribati","Kiribati","Quiribáti","Kiribati","Kiribati","Kiribati","Кирибати",""
"Kuwait","Asia","TheCountry","HUDText","Kuwait","PSG_10009502","","","","","","","Koweït","Kuwait","Kuwait","Kuwait","Kuwait","Koeweit","Kuvait","Kuwejt","Кувейт",""
"Kyrgyzstan","Asia","TheCountry","HUDText","Kyrgyzstan","PSG_10009503","","","","","","","Kirghizistan","Kirghizistan","Kirgisien","Kirguistán","Quirguistão","Kirgizië","Kirgizisztán","Kirgistan","Кыргызстан",""
"Laos","Asia","TheCountry","HUDText","Laos","PSG_10009504","","","","","","","Laos","Laos","Laos","Laos","Laos","Laos","Laosz","Laos","Лаос",""
"Latvia","Europe","TheCountry","HUDText","Latvia","PSG_10009505","","","","","","","Lettonie","Lettonia","Lettland","Letonia","Letônia","Letland","Lettország","Łotwa","Латвия",""
"Lebanon","Asia","TheCountry","HUDText","Lebanon","PSG_10009506","","","","","","","Liban","Libano","Libanon","Líbano","Líbano","Libanon","Libanon","Liban","Ливан",""
"Lesotho","Africa","TheCountry","HUDText","Lesotho","PSG_10009507","","","","","","","Lesotho","Lesotho","Lesotho","Lesoto","Lesoto","Lesotho","Lesotho","Lesotho","Лесото",""
"Liberia","Africa","TheCountry","HUDText","Liberia","PSG_10009508","","","","","","","Liberia","Liberia","Liberia","Liberia","Libéria","Liberia","Libéria","Liberia","Либерия",""
"Libya","Africa","TheCountry","HUDText","Libya","PSG_10009509","","","","","","","Libye","Libia","Libyen","Libia","Líbia","Libië","Líbia","Libia","Ливия",""
"Liechtenstein","Europe","TheCountry","HUDText","Liechtenstein","PSG_10009510","","","","","","","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Лихтенштейн",""
"Lithuania","Europe","TheCountry","HUDText","Lithuania","PSG_10009511","","","","","","","Lituanie","Lituania","Litauen","Lituania","Lituânia","Litouwen","Litvánia","Litwa","Литва",""
"Luxembourg","Europe","TheCountry","HUDText","Luxembourg","PSG_10009512","","","","","","","Luxembourg","Lussemburgo","Luxemburg","Luxemburgo","Luxemburgo","Luxemburg","Luxemburg","Luksemburg","Люксембург",""
"Macedonia","Europe","TheCountry","HUDText","Macedonia","PSG_10009513","","","","","","","Macédoine","Macedonia","Mazedonien","Macedonia","Macedônia","Macedonië","Macedónia","Macedonia","Македония",""
"Madagascar","Africa","TheCountry","HUDText","Madagascar","PSG_10009514","","","","","","","Madagascar","Madagascar","Madagaskar","Madagascar","Madagascar","Madagaskar","Madagaszkár","Madagaskar","Мадагаскар",""
"Malawi","Africa","TheCountry","HUDText","Malawi","PSG_10009515","","","","","","","Malawi","Malawi","Malawi","Malaui","Maláui","Malawi","Malawi","Malawi","Малави",""
"Malaysia","Asia","TheCountry","HUDText","Malaysia","PSG_10009516","","","","","","","Malaisie","Malesia","Malaysia","Malasia","Malásia","Maleisië","Malajzia","Malezja","Малайзия",""
"Maldives","Asia","TheCountry","HUDText","Maldives","PSG_10009517","","","","","","","Maldives","Maldive","Malediven","Maldivas","Maldivas","Malediven","Maldív-szigetek","Malediwy","Мальдивы",""
"Mali","Africa","TheCountry","HUDText","Mali","PSG_10009518","","","","","","","Mali","Mali","Mali","Mali","Mali","Mali","Mali","Mali","Мали",""
"Malta","Europe","TheCountry","HUDText","Malta","PSG_10009519","","","","","","","Malte","Malta","Malta","Malta","Malta","Malta","Málta","Malta","Мальта",""
"MarshallIslands","Oceania","TheCountry","HUDText","Marshall Islands","PSG_10009520","","","","","","","Îles Marshall","Isole Marshall","Marshallinseln","Islas Marshall","Ilhas Marshall","Marshalleilanden","Marshall-szigetek","Wyspy Marshalla","Маршалловы острова",""
"Mauritania","Africa","TheCountry","HUDText","Mauritania","PSG_10009521","","","","","","","Mauritanie","Mauritania","Mauretanien","Mauritania","Mauritânia","Mauritanië","Mauritánia","Mauretania","Мавритания",""
"Mauritius","Africa","TheCountry","HUDText","Mauritius","PSG_10009522","","","","","","","Maurice","Mauritius","Mauritius","Mauricio","Maurício","Mauritius","Mauritius","Mauritius","Маврикий",""
"Mexico","North America","TheCountry","HUDText","Mexico","PSG_10009523","","","","","","","Mexique","Messico","Mexiko","México","México","Mexico","Mexikó","Meksyk","Мексика",""
"Micronesia","Oceania","TheCountry","HUDText","Micronesia","PSG_10009524","","","","","","","Micronésie","Micronesia","Mikronesien","Micronesia","Micronésia","Micronesië","Mikronézia","Mikronezja","Микронезия",""
"Moldova","Europe","TheCountry","HUDText","Moldova","PSG_10009525","","","","","","","Moldavie","Moldavia","Moldawien","Moldavia","Moldávia","Moldavië","Moldova","Mołdawia","Молдова",""
"Monaco","Europe","TheCountry","HUDText","Monaco","PSG_10009526","","","","","","","Monaco","Monaco","Monaco","Mónaco","Mônaco","Monaco","Monaco","Monako","Монако",""
"Mongolia","Asia","TheCountry","HUDText","Mongolia","PSG_10009527","","","","","","","Mongolie","Mongolia","Mongolei","Mongolia","Mongólia","Mongolië","Mongólia","Mongolia","Монголия",""
"Montenegro","Europe","TheCountry","HUDText","Montenegro","PSG_10009528","","","","","","","Monténégro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegró","Czarnogóra","Черногория",""
"Montserrat","North America","TheCountry","HUDText","Montserrat","PSG_10009529","","","","","","","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Монтсеррат",""
"Morocco","Africa","TheCountry","HUDText","Morocco","PSG_10009530","","","","","","","Maroc","Marocco","Marokko","Marruecos","Marrocos","Marokko","Marokkó","Maroko","Марокко",""
"Mozambique","Africa","TheCountry","HUDText","Mozambique","PSG_10009531","","","","","","","Mozambique","Mozambico","Mosambik","Mozambique","Moçambique","Mozambique","Mozambik","Mozambik","Мозамбик",""
"Namibia","Africa","TheCountry","HUDText","Namibia","PSG_10009532","","","","","","","Namibie","Namibia","Namibia","Namibia","Namíbia","Namibië","Namíbia","Namibia","Намибия",""
"Nauru","Oceania","TheCountry","HUDText","Nauru","PSG_10009533","","","","","","","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Науру",""
"Nepal","Asia","TheCountry","HUDText","Nepal","PSG_10009534","","","","","","","Népal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepál","Nepal","Непал",""
"Netherlands","Europe","TheCountry","HUDText","Netherlands","PSG_10009535","","","","","","","Pays-Bas","Paesi Bassi","Niederlande","Países Bajos","Países Baixos","Nederland","Hollandia","Holandia","Нидерланды",""
"NewCaledonia","Oceania","TheCountry","HUDText","New Caledonia","PSG_10009536","","","","","","","Nouvelle-Calédonie","Nuova Caledonia","Neukaledonien","Nueva Caledonia","Nova Caledônia","Nieuw-Caledonië","Új-Kaledónia","Nowa Kaledonia","Новая Каледония",""
"NewZealand","Oceania","TheCountry","HUDText","New Zealand","PSG_10009537","","","","","","","Nouvelle-Zélande","Nuova Zelanda","Neuseeland","Nueva Zelanda","Nova Zelândia","Nieuw-Zeeland","Új-Zéland","Nowa Zelandia","Новая Зеландия",""
"Nicaragua","North America","TheCountry","HUDText","Nicaragua","PSG_10009538","","","","","","","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicarágua","Nicaragua","Nicaragua","Nikaragua","Никарагуа",""
"Niger","Africa","TheCountry","HUDText","Niger","PSG_10009539","","","","","","","Niger","Niger","Niger","Níger","Níger","Niger","Niger","Niger","Нигер",""
"Nigeria","Africa","TheCountry","HUDText","Nigeria","PSG_10009540","","","","","","","Nigeria","Nigeria","Nigeria","Nigeria","Nigéria","Nigeria","Nigéria","Nigeria","Нигерия",""
"NorthernMariana","Oceania","TheCountry","HUDText","Northern Mariana","PSG_10009541","","","","","","","Îles Mariannes du Nord","Marianne settentrionali","Nördliche Marianen","Islas Marianas del Norte","Marianas do Norte","Noordelijke Marianeneilanden","Északi-Mariana-szigetek","Mariany Północne","Северные Марианские острова",""
"NorthKorea","Asia","TheCountry","HUDText","North Korea","PSG_10009542","","","","","","","Corée du Nord","Corea del Nord","Nordkorea","Corea del Norte","Coreia do Norte","Noord-Korea","Észak-Korea","Korea Północna","КНДР",""
"Norway","Europe","TheCountry","HUDText","Norway","PSG_10009543","","","","","","","Norvège","Norvegia","Norwegen","Noruega","Noruega","Noorwegen","Norvégia","Norwegia","Норвегия",""
"Oman","Asia","TheCountry","HUDText","Oman","PSG_10009544","","","","","","","Oman","Oman","Oman","Omán","Omã","Oman","Omán","Oman","Оман",""
"Pakistan","Asia","TheCountry","HUDText","Pakistan","PSG_10009545","","","","","","","Pakistan","Pakistan","Pakistan","Pakistán","Paquistão","Pakistan","Pakisztán","Pakistan","Пакистан",""
"Palau","Oceania","TheCountry","HUDText","Palau","PSG_10009546","","","","","","","Palaos","Palau","Palau","Palaos","Palau","Palau","Palau","Palau","Палау",""
"Panama","North America","TheCountry","HUDText","Panama","PSG_10009547","","","","","","","Panama","Panama","Panama","Panamá","Panamá","Panama","Panama","Panama","Панама",""
"PapuaNewGuinea","Oceania","TheCountry","HUDText","Papua New Guinea","PSG_10009548","","","","","","","Papouasie-Nouvelle-Guinée","Papua Nuova Guinea","Papua-Neuguinea","Papúa Nueva Guinea","Papua Nova Guiné","Papoea-Nieuw-Guinea","Pápua Új-Guinea","Papua-Nowa Gwinea","Папуа - Новая Гвинея",""
"Paraguay","South America","TheCountry","HUDText","Paraguay","PSG_10009549","","","","","","","Paraguay","Paraguay","Paraguay","Paraguay","Paraguai","Paraguay","Paraguay","Paragwaj","Парагвай",""
"Peru","South America","TheCountry","HUDText","Peru","PSG_10009550","","","","","","","Pérou","Perù","Peru","Perú","Peru","Peru","Peru","Peru","Перу",""
"Philippines","Asia","TheCountry","HUDText","Philippines","PSG_10009551","","","","","","","Philippines","Filippine","Philippinen","Filipinas","Filipinas","Filipijnen","Fülöp-szigetek","Filipiny","Филиппины",""
"Poland","Europe","TheCountry","HUDText","Poland","PSG_10009552","","","","","","","Pologne","Polonia","Polen","Polonia","Polônia","Polen","Lengyelország","Polska","Польша",""
"Portugal","Europe","TheCountry","HUDText","Portugal","PSG_10009553","","","","","","","Portugal","Portogallo","Portugal","Portugal","Portugal","Portugal","Portugália","Portugalia","Португалия",""
"PuertoRico","North America","TheCountry","HUDText","Puerto Rico","PSG_10009554","","","","","","","Porto Rico","Portorico","Puerto Rico","Puerto Rico","Porto Rico","Puerto Rico","Puerto Rico","Portoryko","Пуэрто-Рико",""
"Qatar","Asia","TheCountry","HUDText","Qatar","PSG_10009555","","","","","","","Qatar","Qatar","Katar","Catar","Qatar","Qatar","Katar","Katar","Катар",""
"Romania","Europe","TheCountry","HUDText","Romania","PSG_10009556","","","","","","","Roumanie","Romania","Rumänien","Rumanía","Romênia","Roemenië","Románia","Rumunia","Румыния",""
"RussianFederation","Europe","TheCountry","HUDText","Russia","PSG_10009557","","","","","","","Fédération de Russie","Russia","Russische Föderation","Federación Rusa","Rússia","Rusland","Oroszország","Rosja","Российская Федерация",""
"Rwanda","Africa","TheCountry","HUDText","Rwanda","PSG_10009558","","","","","","","Rwanda","Ruanda","Ruanda","Ruanda","Ruanda","Rwanda","Ruanda","Rwanda","Руанда",""
"SaintKittsandNevis","North America","TheCountry","HUDText","Saint Kitts and Nevis","PSG_10009559","","","","","","","Saint-Christophe-et-Niévès","Saint Kitts e Nevis","St. Kitts und Nevis","San Cristóbal y Nieves","São Cristóvão e Névis","St. Kitts en Nevis","Saint Kitts és Nevis","Saint Kitts i Nevis","Сент-Китс и Невис",""
"SaintLucia","North America","TheCountry","HUDText","Saint Lucia","PSG_10009560","","","","","","","Sainte-Lucie","Santa Lucia","St. Lucia","Santa Lucía","Santa Lúcia","St. Lucia","Saint Lucia","Saint Lucia","Сент-Люсия",""
"SaintVincentandtheGrenadines","North America","TheCountry","HUDText","Saint Vincent and the Grenadines","PSG_10009561","","","","","","","Saint-Vincent-et-les-Grenadines","Saint Vincent e Grenadine","St. Vincent und die Grenadinen","San Vicente y las Granadinas","São Vicente e Granadinas","St. Vincent en de Grenadines","Saint Vincent és a Grenadine-szigetek","Saint Vincent i Grenadyny","Сент-Винсент и Гренадины",""
"Samoa","Oceania","TheCountry","HUDText","Samoa","PSG_10009562","","","","","","","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","Szamoa","Samoa","Самоа",""
"SanMarino","Europe","TheCountry","HUDText","San Marino","PSG_10009563","","","","","","","Saint-Marin","San Marino","San Marino","San Marino","São Marinho","San Marino","San Marino","San Marino","Сан-Марино",""
"SaoTomeandPrincipe","Africa","TheCountry","HUDText","Sao Tome and Principe","PSG_10009564","","","","","","","Sao Tomé-et-Principe","São Tomé e Príncipe","São Tomé und Príncipe","Santo Tomé y Príncipe","São Tomé e Príncipe","St. Tomé en Principe","Sao Tomé és Principe","Wyspy Świętego Tomasza i Książęca","Сан-Томе и Принсипи",""
"SaudiArabia","Asia","TheCountry","HUDText","Saudi Arabia","PSG_10009565","","","","","","","Arabie saoudite","Arabia Saudita","Saudi-Arabien","Arabia Saudí","Arábia Saudita","Saoedi-Arabië","Szaúd-Arábia","Arabia Saudyjska","Саудовская Аравия",""
"Senegal","Africa","TheCountry","HUDText","Senegal","PSG_10009566","","","","","","","Sénégal","Senegal","Senegal","Senegal","Senegal","Senegal","Szenegál","Senegal","Сенегал",""
"Serbia","Europe","TheCountry","HUDText","Serbia","PSG_10009567","","","","","","","Serbie","Serbia","Serbien","Serbia","Sérvia","Servië","Szerbia","Serbia","Сербия",""
"Seychelles","Africa","TheCountry","HUDText","Seychelles","PSG_10009568","","","","","","","Seychelles","Seychelles","Seychellen","Seychelles","Seicheles","Seychellen","Seychelle-szigetek","Seszele","Сейшелы",""
"SierraLeone","Africa","TheCountry","HUDText","Sierra Leone","PSG_10009569","","","","","","","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leona","Serra Leoa","Sierra Leone","Sierra Leone","Sierra Leone","Сьерра-Леоне",""
"Singapore","Asia","TheCountry","HUDText","Singapore","PSG_10009570","","","","","","","Singapour","Singapore","Singapur","Singapur","Singapura","Singapore","Szingapúr","Singapur","Сингапур",""
"Slovakia","Europe","TheCountry","HUDText","Slovakia","PSG_10009571","","","","","","","Slovaquie","Slovacchia","Slowakei","Eslovaquia","Eslováquia","Slowakije","Szlovákia","Słowacja","Словакия",""
"Slovenia","Europe","TheCountry","HUDText","Slovenia","PSG_10009572","","","","","","","Slovénie","Slovenia","Slowenien","Eslovenia","Eslovênia","Slovenië","Szlovénia","Słowenia","Словения",""
"SolomonIslands","Oceania","TheCountry","HUDText","the Solomon Islands","PSG_10009573","","","","","","","Îles Salomon","Isole Salomone","Salomonen","Islas Salomón","Ilhas Salomão","Salomonseilanden","Salamon-szigetek","Wyspy Salomona","Соломоновы острова",""
"Somalia","Africa","TheCountry","HUDText","Somalia","PSG_10009574","","","","","","","Somalie","Somalia","Somalia","Somalia","Somália","Somalië","Szomália","Somalia","Сомали",""
"SouthAfrica","Africa","TheCountry","HUDText","South Africa","PSG_10009575","","","","","","","Afrique du Sud","Sudafrica","Südafrika","Sudáfrica","África do Sul","Zuid-Afrika","Dél-Afrika","Republika Południowej Afryki","ЮАР",""
"SouthKorea","Asia","TheCountry","HUDText","South Korea","PSG_10009576","","","","","","","Corée du Sud","Corea del Sud","Südkorea","Corea del Sur","Coreia do Sul","Zuid-Korea","Dél-Korea","Korea Południowa","Южная Корея",""
"SouthSudan","Africa","TheCountry","HUDText","South Sudan","PSG_10009577","","","","","","","Soudan du Sud","Sudan del Sud","Südsudan","Sudán del Sur","Sudão do Sul","Zuid-Soedan","Dél-Szudán","Sudan Południowy","Южный Судан",""
"Spain","Europe","TheCountry","HUDText","Spain","PSG_10009578","","","","","","","Espagne","Spagna","Spanien","España","Espanha","Spanje","Spanyolország","Hiszpania","Испания",""
"SriLanka","Asia","TheCountry","HUDText","Sri Lanka","PSG_10009579","","","","","","","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Srí Lanka","Sri Lanka","Шри-Ланка",""
"Sudan","Africa","TheCountry","HUDText","Sudan","PSG_10009580","","","","","","","Soudan","Sudan","Sudan","Sudán","Sudão","Soedan","Szudán","Sudan","Судан",""
"Suriname","South America","TheCountry","HUDText","Suriname","PSG_10009581","","","","","","","Surinam","Suriname","Surinam","Surinam","Suriname","Suriname","Suriname","Surinam","Суринам",""
"Swaziland","Africa","TheCountry","HUDText","Swaziland","PSG_10009582","","","","","","","Swaziland","Swaziland","Swasiland","Suazilandia","Suazilândia","Swaziland","Szváziföld","Suazi","Свазиленд",""
"Sweden","Europe","TheCountry","HUDText","Sweden","PSG_10009583","","","","","","","Suède","Svezia","Schweden","Suecia","Suécia","Zweden","Svédország","Szwecja","Швеция",""
"Switzerland","Europe","TheCountry","HUDText","Switzerland","PSG_10009584","","","","","","","Suisse","Svizzera","Schweiz","Suiza","Suíça","Zwitserland","Svájc","Szwajcaria","Швейцария",""
"Syria","Asia","TheCountry","HUDText","Syria","PSG_10009585","","","","","","","Syrie","Siria","Syrien","Siria","Síria","Syrië","Szíria","Syria","Сирия",""
"Tajikistan","Asia","TheCountry","HUDText","Tajikistan","PSG_10009586","","","","","","","Tadjikistan","Tagikistan","Tadschikistan","Tayikistán","Tadjiquistão","Tadzjikistan","Tádzsikisztán","Tadżykistan","Таджикистан",""
"Tanzania","Africa","TheCountry","HUDText","Tanzania","PSG_10009587","","","","","","","Tanzanie","Tanzania","Tansania","Tanzania","Tanzânia","Tanzania","Tanzánia","Tanzania","Танзания",""
